Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,74.454002,74.562798,74.438004,74.469101,74.469101,0
2021-07-16,74.537903,74.800003,74.496498,74.537003,74.537003,0
2021-07-19,74.631897,75.020401,74.631104,74.631798,74.631798,0
2021-07-20,74.993301,75.205002,74.559998,74.993401,74.993401,0
2021-07-21,74.526901,74.651604,74.371696,74.527000,74.527000,0
2021-07-22,74.440201,74.509003,74.307999,74.440201,74.440201,0
2021-07-23,74.451897,74.576500,74.367500,74.452003,74.452003,0
2021-07-26,74.448997,74.702003,74.318604,74.448898,74.448898,0
2021-07-27,74.279701,74.546997,74.276100,74.289497,74.289497,0
2021-07-28,74.502296,74.737999,74.324799,74.502296,74.502296,0
2021-07-29,74.389999,74.519997,74.154404,74.389999,74.389999,0
2021-07-30,74.245003,74.462502,74.200600,74.251999,74.251999,0
2021-08-02,74.379204,74.599998,74.312302,74.379097,74.379097,0
2021-08-03,74.331902,74.367996,74.208000,74.332001,74.332001,0
2021-08-04,74.213898,74.243500,74.077797,74.214401,74.214401,0
2021-08-05,74.186302,74.286499,74.059402,74.183998,74.183998,0
2021-08-06,74.074600,74.239601,74.045097,74.082001,74.082001,0
2021-08-09,74.491501,74.500000,74.165001,74.491402,74.491402,0
2021-08-10,74.466202,74.650002,74.323303,74.466202,74.466202,0
2021-08-11,74.435501,74.486801,74.157501,74.435501,74.435501,0
2021-08-12,74.100197,74.407997,74.002296,74.102997,74.102997,0
2021-08-13,74.260101,74.315300,74.110497,74.260101,74.260101,0
2021-08-16,74.216904,74.285797,74.080803,74.216797,74.216797,0
2021-08-17,74.137299,74.400299,74.134903,74.135002,74.135002,0
2021-08-18,74.364502,74.559799,74.195297,74.364502,74.364502,0
2021-08-19,74.269798,74.463402,74.269798,74.269798,74.269798,0
2021-08-20,74.429298,74.475601,74.324997,74.429298,74.429298,0
2021-08-23,74.351303,74.351402,74.042198,74.301498,74.301498,0
2021-08-24,74.105904,74.219498,74.055000,74.105904,74.105904,0
2021-08-25,74.144897,74.301804,74.094299,74.144798,74.144798,0
2021-08-26,74.101799,74.267502,74.068001,74.099998,74.099998,0
2021-08-27,74.156197,74.330002,73.438004,74.155998,74.155998,0
2021-08-30,73.496696,73.699799,73.197197,73.496597,73.496597,0
2021-08-31,73.420998,73.420998,72.904800,73.411201,73.411201,0
2021-09-01,72.997101,73.143997,72.916000,72.996696,72.996696,0
2021-09-02,72.985100,73.121803,72.932999,72.985100,72.985100,0
2021-09-03,73.054298,73.205002,72.937798,73.054298,73.054298,0
2021-09-06,72.994598,73.119301,72.941002,72.994499,72.994499,0
2021-09-07,73.109901,73.489403,73.035004,73.110001,73.110001,0
2021-09-08,73.390900,73.868401,73.266502,73.390404,73.390404,0
2021-09-09,73.795799,73.862000,73.489502,73.789001,73.789001,0
2021-09-10,73.545303,73.576797,73.373802,73.538002,73.538002,0
2021-09-13,73.524300,73.776802,73.516998,73.524300,73.524300,0
2021-09-14,73.540802,73.721802,73.514999,73.540802,73.540802,0
2021-09-15,73.650803,73.870003,73.417000,73.650803,73.650803,0
2021-09-16,73.444801,73.621498,73.336998,73.438004,73.438004,0
2021-09-17,73.538803,73.752502,73.413101,73.564903,73.564903,0
2021-09-20,73.696198,73.899597,73.607002,73.696098,73.696098,0
2021-09-21,73.659302,73.790100,73.549004,73.658997,73.658997,0
2021-09-22,73.795097,73.941498,73.650002,73.792702,73.792702,0
2021-09-23,73.875000,73.925797,73.588997,73.874901,73.874901,0
2021-09-24,73.839897,73.875198,73.621002,73.839996,73.839996,0
2021-09-27,73.812897,73.924004,73.611801,73.812897,73.812897,0
2021-09-28,73.825302,74.288300,73.727997,73.825302,73.825302,0
2021-09-29,74.163300,74.564400,74.007004,74.163300,74.163300,0
2021-09-30,74.317299,74.355202,74.058800,74.321999,74.321999,0
2021-10-01,74.254402,74.479500,74.077301,74.254402,74.254402,0
2021-10-04,74.152199,74.547997,74.120499,74.152100,74.152100,0
2021-10-05,74.572998,74.789001,74.404999,74.572800,74.572800,0
2021-10-06,74.563202,75.052902,74.519501,74.563202,74.563202,0
2021-10-07,74.767403,75.010002,74.680496,74.760002,74.760002,0
2021-10-08,74.831596,75.181000,74.827499,74.830002,74.830002,0
2021-10-11,75.305901,75.532303,74.761497,75.305801,75.305801,0
2021-10-12,75.402603,75.664597,75.150002,75.402603,75.402603,0
2021-10-13,75.501999,75.699997,75.183800,75.483902,75.483902,0
2021-10-14,75.306297,75.353302,74.993401,75.306297,75.306297,0
2021-10-15,74.995003,75.212502,74.878098,74.995003,74.995003,0
2021-10-18,75.005997,75.521004,74.940498,75.005898,75.005898,0
2021-10-19,75.237999,75.267097,74.882004,75.235497,75.235497,0
2021-10-20,75.120201,75.182999,74.749802,75.120102,75.120102,0
2021-10-21,74.809303,74.912498,74.634003,74.809196,74.809196,0
2021-10-22,74.866501,75.099800,74.684601,74.865402,74.865402,0
2021-10-25,74.993797,75.274803,74.858002,74.993698,74.993698,0
2021-10-26,75.089897,75.169800,74.847603,75.089897,75.089897,0
2021-10-27,74.888901,75.093002,74.888901,74.888901,74.888901,0
2021-10-28,75.037697,75.322502,74.754501,75.050003,75.050003,0
2021-10-29,74.796997,75.025299,74.737999,74.797203,74.797203,0
2021-11-01,74.928398,75.186302,74.810501,74.928299,74.928299,0
2021-11-02,74.829903,74.909302,74.613297,74.829903,74.829903,0
2021-11-03,74.712303,74.765503,74.407997,74.711998,74.711998,0
2021-11-04,74.435501,74.554001,74.235001,74.435501,74.435501,0
2021-11-05,74.478104,74.580498,74.050598,74.478104,74.478104,0
2021-11-08,74.191002,74.276802,73.906998,74.191101,74.191101,0
2021-11-09,73.903999,73.968002,73.894997,73.952003,73.952003,0
