Date,Open,High,Low,Close,Adj Close
2021-06-03,47.778000,47.891998,47.648384,47.775002,47.775002
2021-06-04,47.889999,47.889999,47.599998,47.701172,47.701172
2021-06-07,47.643002,47.733002,47.520142,47.643002,47.643002
2021-06-08,47.681999,47.772999,47.489685,47.681000,47.681000
2021-06-09,47.845001,47.845001,47.611385,47.588417,47.588417
2021-06-10,47.750999,47.830002,47.560616,47.756001,47.756001
2021-06-11,47.716000,47.807999,47.564487,47.721001,47.721001
2021-06-14,47.773998,47.912998,47.687996,47.773998,47.773998
2021-06-15,47.856998,48.168999,47.731979,47.924999,47.924999
2021-06-16,48.071999,48.173000,47.951611,48.068001,48.068001
2021-06-17,48.105572,48.563000,48.040001,48.198002,48.198002
2021-06-18,48.401001,48.561001,48.207321,48.505001,48.505001
2021-06-21,48.515999,48.830002,48.441002,48.515999,48.515999
2021-06-22,48.762001,48.830002,48.521442,48.590000,48.590000
2021-06-23,48.796001,48.845001,48.542233,48.792999,48.792999
2021-06-24,48.650002,48.870998,48.520000,48.639999,48.639999
2021-06-25,48.529999,48.712002,48.336105,48.712002,48.712002
2021-06-28,48.396389,48.715000,48.396389,48.401657,48.401657
2021-06-29,48.680000,48.698002,48.390347,48.676998,48.676998
2021-06-30,48.678001,48.973999,48.356377,48.671001,48.671001
2021-07-01,48.922001,49.353001,48.732864,48.922001,48.922001
2021-07-02,49.485001,49.485001,49.006992,49.082821,49.082821
2021-07-05,49.217999,49.423000,49.073002,49.217999,49.217999
2021-07-06,49.318001,49.846001,49.189999,49.318001,49.318001
2021-07-07,49.904999,50.061001,49.513077,49.910000,49.910000
2021-07-08,50.087002,50.314999,49.674999,50.091999,50.091999
2021-07-09,50.365002,50.365002,49.763000,49.959999,49.959999
2021-07-12,50.028999,50.575001,49.860641,50.028999,50.028999
2021-07-13,50.544998,50.544998,49.793999,50.535000,50.535000
2021-07-14,49.944382,50.387001,49.924999,50.209000,50.209000
2021-07-15,50.355000,50.398998,50.043999,50.188000,50.188000
2021-07-16,50.263000,50.494999,49.875000,50.268002,50.268002
2021-07-19,50.421001,51.279999,50.230000,50.421001,50.421001
2021-07-20,51.082001,52.075001,49.798000,51.087002,51.087002
2021-07-21,50.938999,50.938999,50.092976,50.938999,50.938999
2021-07-22,50.362000,50.362000,49.888611,50.306999,50.306999
2021-07-23,50.181999,50.349998,49.980000,50.187000,50.187000
2021-07-26,50.183998,50.389999,50.180000,50.183998,50.183998
2021-07-27,50.292999,50.548000,50.215000,50.298000,50.298000
2021-07-28,50.473999,50.547001,50.235458,50.464001,50.464001
2021-07-29,50.220001,50.373001,50.053219,50.220001,50.220001
2021-07-30,50.264999,50.333000,49.828999,50.255001,50.255001
2021-08-02,49.950001,50.057999,49.680000,49.950001,49.950001
2021-08-03,49.970001,49.970001,49.446335,49.965000,49.965000
2021-08-04,49.821999,49.895000,49.509998,49.827000,49.827000
2021-08-05,49.764000,50.449001,49.623173,49.764000,49.764000
2021-08-06,50.244999,50.833000,50.149166,50.250000,50.250000
2021-08-09,50.745998,50.745998,50.222878,50.745998,50.745998
2021-08-10,50.393002,50.526001,50.254185,50.382999,50.382999
2021-08-11,50.397999,50.568001,50.266743,50.547001,50.547001
2021-08-12,50.361000,50.504002,50.230331,50.361000,50.361000
2021-08-13,50.582001,50.602001,50.253353,50.587002,50.587002
2021-08-16,50.542000,50.771999,50.410000,50.542000,50.542000
2021-08-17,50.825001,50.825001,50.253944,50.814999,50.814999
2021-08-18,50.612000,50.612000,50.143002,50.617001,50.617001
2021-08-19,50.274502,50.582001,50.259998,50.494999,50.494999
2021-08-20,50.672001,50.672001,50.145767,50.401031,50.401031
2021-08-23,50.250999,50.317001,50.039394,50.250999,50.250999
2021-08-24,50.264999,50.264999,49.880001,50.270000,50.270000
2021-08-25,50.115002,50.145000,49.633259,49.886837,49.886837
2021-08-26,49.814999,50.075001,49.583012,49.820000,49.820000
2021-08-27,50.132000,50.132000,49.721882,49.877949,49.877949
2021-08-30,49.812000,49.895000,49.514999,49.812000,49.812000
2021-08-31,49.875000,49.875000,49.540001,49.880001,49.880001
2021-09-01,49.623001,50.124001,49.549999,49.627998,49.627998
2021-09-02,50.014999,50.098000,49.674000,50.020000,50.020000
2021-09-03,49.805000,49.916000,49.549999,49.810001,49.810001
2021-09-06,49.909000,50.042000,49.724998,49.909000,49.909000
2021-09-07,49.992001,50.347000,49.756584,49.997002,49.997002
2021-09-08,50.244999,50.244999,49.980000,49.987755,49.987755
2021-09-09,50.259998,50.259998,49.797001,50.264999,50.264999
2021-09-10,50.025002,50.028000,49.689999,49.803585,49.803585
2021-09-13,49.926998,50.041000,49.740002,49.926998,49.926998
2021-09-14,49.945000,49.970001,49.628689,49.935001,49.935001
2021-09-15,49.959999,49.970001,49.584694,49.959999,49.959999
2021-09-16,49.723000,50.016998,49.603004,49.714001,49.714001
2021-09-17,50.040001,50.042000,49.507000,50.040001,50.040001
2021-09-20,50.029999,50.276001,50.000000,50.029999,50.029999
2021-09-21,50.145000,50.222000,49.948444,50.134998,50.134998
2021-09-22,50.216999,50.356998,49.980000,50.216999,50.216999
2021-09-23,50.355000,50.438999,49.712002,50.355000,50.355000
2021-09-24,50.355000,50.930000,50.169998,50.177574,50.177574
2021-09-27,50.799999,51.245998,50.608002,50.799999,50.799999
2021-09-28,51.075001,51.345001,50.754810,50.960609,50.960609
2021-09-29,51.299999,51.299999,50.660000,51.006115,51.006115
2021-09-30,50.799999,51.139999,50.720001,51.090000,51.090000
2021-10-01,51.105000,51.115002,50.312000,51.105000,51.105000
2021-10-04,50.632999,50.918999,50.630001,50.632999,50.632999
2021-10-05,50.955002,50.955002,50.500000,50.945000,50.945000
2021-10-06,50.832001,51.006001,50.482002,50.509998,50.509998
2021-10-07,50.966999,50.966999,50.199001,50.966999,50.966999
2021-10-08,50.641998,50.641998,50.290001,50.646999,50.646999
2021-10-11,50.573002,50.917000,50.450001,50.573002,50.573002
2021-10-12,50.994999,50.994999,50.658443,51.000000,51.000000
2021-10-13,50.985001,50.985001,50.471001,50.974998,50.974998
2021-10-14,50.681999,50.747002,50.435982,50.410000,50.410000
2021-10-15,50.805000,53.179001,50.555000,50.805000,50.805000
2021-10-18,50.703999,50.901001,50.589001,50.703999,50.703999
2021-10-19,51.025002,51.025002,50.582809,51.029999,51.029999
2021-10-20,50.911999,50.911999,50.617001,50.917000,50.917000
2021-10-21,50.895000,50.895000,50.659000,50.900002,50.900002
2021-10-22,50.935001,50.935001,50.630768,50.939999,50.939999
2021-10-25,50.743000,50.813000,50.597000,50.743000,50.743000
2021-10-26,50.762001,50.789001,50.189999,50.766998,50.766998
2021-10-27,50.680000,50.848000,50.407356,50.840000,50.840000
2021-10-28,50.856998,50.856998,50.490841,50.627998,50.627998
2021-10-29,50.112999,50.689999,49.882313,50.689999,50.689999
2021-11-01,50.480999,50.619999,50.305000,50.409561,50.409561
2021-11-02,50.471001,50.641998,50.258289,50.416000,50.416000
2021-11-03,50.645000,50.726002,50.384998,50.272999,50.272999
2021-11-04,50.695000,50.737999,50.451904,50.685001,50.685001
2021-11-05,50.742001,50.742001,50.125572,50.460011,50.460011
2021-11-08,50.212002,50.319000,49.953976,50.327999,50.327999
2021-11-09,50.171001,50.174999,49.812283,50.160999,50.160999
2021-11-10,50.053043,50.240002,49.882172,50.240002,50.240002
2021-11-11,50.242001,50.242001,49.918652,50.000000,50.000000
2021-11-12,50.130001,50.130001,49.639915,50.125000,50.125000
2021-11-15,49.757999,50.161999,49.749001,49.810001,49.810001
2021-11-16,50.139000,50.431999,49.948139,50.220001,50.220001
2021-11-17,50.500000,50.500000,50.192001,50.498001,50.498001
2021-11-18,50.345001,50.388000,50.195999,50.334999,50.334999
2021-11-19,50.330002,50.674000,50.091316,50.325001,50.325001
2021-11-22,50.463001,50.782001,50.463001,50.374832,50.374832
2021-11-23,50.755001,50.757000,50.499695,50.568455,50.568455
2021-11-24,50.685001,50.685001,50.226002,50.449154,50.449154
2021-11-25,50.480000,50.541000,50.202999,50.271767,50.271767
2021-11-26,50.395000,50.557999,50.193390,50.194721,50.194721
2021-11-29,50.474998,50.474998,50.231148,50.365002,50.365002
2021-11-30,50.375000,50.462002,50.159698,50.375000,50.375000
2021-12-01,50.372002,50.417000,50.210999,50.376999,50.376999
